cycle,algorithm,onu_id,cls,n_packets,mean_delay_ns,std_delay_ns,p95_delay_ns
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,36767.0,130.63945294843617,36767.0
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,8,41287.0,2749.545416973504,44287.0
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,11252.0,130.63945294843617,11252.0
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,0,0.0,0.0,0.0
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,20,22972.0,6919.537556802477,33172.0
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,3,160.0,130.63945294843617,160.0
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,8,4680.0,2749.545416973504,7680.0
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,0,0.0,0.0,0.0
1,gated,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,36804.0,130.63945294843617,36804.0
1,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,0,0.0,0.0,0.0
1,gated,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
1,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,25666.0,130.63945294843617,25666.0
1,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,8,30186.0,2749.545416973504,33186.0
1,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,0,0.0,0.0,0.0
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,3,160.0,130.63945294843617,160.0
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,0,0.0,0.0,0.0
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,20,11880.0,6919.537556802477,22080.0
2,gated,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,12837.0,130.63945294843617,12837.0
2,gated,65298be0-01e9-4bf4-9842-ae24b342999c,AF,0,0.0,0.0,0.0
2,gated,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
2,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,11277.0,130.63945294843617,11277.0
