cycle,algorithm,onu_id,grant_bytes,start_ns,end_ns
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,0,11080
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,11092,36572
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,36607,47687
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30600,47687,73167
1,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,73193,84273
1,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,84331,85811
2,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,85811,96891
2,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,96928,98408
2,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,98488,99968
3,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12400,99968,110888
3,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12400,111079,121999
3,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,122236,133316
4,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,800,133316,134956
4,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,135160,136640
4,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,137009,148089
5,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,148089,149569
5,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,149793,151273
5,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,151759,153239
6,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30600,153239,178719
6,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,178998,180478
6,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,181093,182573
7,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,182573,193653
7,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,193967,195447
7,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,196191,221671
8,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,221671,232751
8,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,233102,234582
8,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,235454,236934
9,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30600,236934,262414
9,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,262858,264338
9,gated,65298be0-01e9-4bf4-9842-ae24b342999c,400,265359,266679
10,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,266679,268159
10,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,268713,270193
10,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,271346,272826
11,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,272826,274306
11,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,274962,276442
11,gated,65298be0-01e9-4bf4-9842-ae24b342999c,800,277709,279349
12,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,279349,280829
12,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,281562,292642
12,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,294014,305094
