cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
0,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12635,12600,35
0,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30644,30600,44
0,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12615,12600,15
1,gated,65298be0-01e9-4bf4-9842-ae24b342999c,583,600,53
1,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12585,12600,73
1,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30603,30600,33
2,gated,65298be0-01e9-4bf4-9842-ae24b342999c,605,600,76
2,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,599,600,101
2,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12596,12600,47
3,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12598,12600,97
3,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12568,12400,297
3,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12578,12400,239
4,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12616,12600,134
4,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,569,600,462
4,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,625,800,256
5,gated,65298be0-01e9-4bf4-9842-ae24b342999c,588,600,159
5,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,581,600,608
5,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,607,600,280
6,gated,65298be0-01e9-4bf4-9842-ae24b342999c,618,600,202
6,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,600,769
6,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30645,30600,349
7,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30595,30600,240
7,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,600,930
7,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12575,12600,393
8,gated,65298be0-01e9-4bf4-9842-ae24b342999c,579,600,257
8,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,600,1091
8,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12602,12600,439
9,gated,65298be0-01e9-4bf4-9842-ae24b342999c,555,400,429
9,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,625,600,1277
9,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30670,30600,555
10,gated,65298be0-01e9-4bf4-9842-ae24b342999c,620,600,621
10,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,579,600,1442
10,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,622,600,693
11,gated,65298be0-01e9-4bf4-9842-ae24b342999c,620,800,633
11,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,577,600,1584
11,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,589,600,820
12,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12622,12600,667
12,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12589,12600,1715
12,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,570,600,917
13,gated,65298be0-01e9-4bf4-9842-ae24b342999c,599,600,700
13,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,586,600,1832
13,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,633,600,1047
14,gated,65298be0-01e9-4bf4-9842-ae24b342999c,646,600,779
14,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12573,12600,1922
14,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,641,600,1218
15,gated,65298be0-01e9-4bf4-9842-ae24b342999c,612,600,870
15,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,580,600,1992
15,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,590,600,1379
16,gated,65298be0-01e9-4bf4-9842-ae24b342999c,608,600,969
16,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12594,12600,2056
16,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,573,600,1513
17,gated,65298be0-01e9-4bf4-9842-ae24b342999c,601,600,1069
17,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12584,12600,2104
17,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,568,600,1615
18,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12625,12600,1194
18,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,601,600,2153
18,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,620,600,1737
19,gated,65298be0-01e9-4bf4-9842-ae24b342999c,596,600,1315
19,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30665,30600,2267
19,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,542,600,1801
20,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30613,30600,1449
20,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,598,600,2379
20,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,554,600,1819
21,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12590,12600,1573
21,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,585,600,2476
21,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12619,12600,1856
22,gated,65298be0-01e9-4bf4-9842-ae24b342999c,607,600,1704
22,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,607,600,2580
22,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,560,400,2053
23,gated,65298be0-01e9-4bf4-9842-ae24b342999c,608,600,1843
23,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,611,600,2695
23,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,643,800,2093
24,gated,65298be0-01e9-4bf4-9842-ae24b342999c,624,600,2006
24,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,621,600,2831
24,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12620,12600,2153
25,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12599,12600,2168
25,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,564,600,2931
25,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,614,600,2227
26,gated,65298be0-01e9-4bf4-9842-ae24b342999c,583,600,2313
26,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,595,600,3026
