cycle,algorithm,onu_id,cls,n_packets,mean_delay_ns,std_delay_ns,p95_delay_ns
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,21360.0,130.63945294843617,21360.0
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,7,25280.0,2400.0,27680.0
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,10760.0,130.63945294843617,10760.0
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,0,0.0,0.0,0.0
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,7,14680.0,2400.0,17080.0
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,3,160.0,130.63945294843617,160.0
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,7,4080.0,2400.0,6480.0
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,0,0.0,0.0,0.0
1,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,21360.0,130.63945294843617,21360.0
1,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1,52760.0,0.0,52760.0
1,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,10760.0,130.63945294843617,10760.0
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,7,14680.0,2400.0,17080.0
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,0,0.0,0.0,0.0
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,3,160.0,130.63945294843617,160.0
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1,31560.0,0.0,31560.0
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,6,4680.0,2049.3901531919196,6480.0
2,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,21360.0,130.63945294843617,21360.0
2,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,0,0.0,0.0,0.0
2,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
2,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,10760.0,130.63945294843617,10760.0
