cycle,algorithm,onu_id,grant_bytes,start_ns,end_ns
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,0,9880
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,10600,20480
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,21200,31080
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,31080,40960
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,41680,51560
1,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,2100,52280,54960
2,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,54960,64840
2,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,65560,75440
2,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,76160,77640
3,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,10900,77640,87360
3,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,10900,88240,97960
3,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,98840,108720
4,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11300,108720,118760
4,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,119320,129200
4,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,129920,139800
5,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,139800,149680
5,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,2100,150400,153080
5,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,3600,153566,157446
6,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,157446,167326
6,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,168046,169526
6,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,170141,171621
7,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,171621,181501
7,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,182221,183701
7,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,184445,194325
8,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,194325,204205
8,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,204925,206405
8,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,207277,217157
9,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,217157,227037
9,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,227757,229237
9,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,9400,230258,238778
10,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,238778,248658
10,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,249378,250858
10,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,252011,253491
11,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,253491,263371
11,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,264091,265571
11,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,800,266838,268478
12,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,268478,278358
12,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,279078,288958
12,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,289678,299558
13,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,299558,309438
13,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,2100,310158,312838
13,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,2100,314303,316983
14,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,3600,316983,320863
14,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,321837,331717
14,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,332437,333917
15,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,333917,335397
15,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,2100,336500,339180
15,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,340773,342253
16,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,342253,343733
16,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,344943,354823
16,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,355543,357023
17,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,357023,358503
17,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,359795,369675
17,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,370395,371875
18,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,371875,373355
18,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,3600,374744,378624
18,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,380346,390226
19,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,390226,391706
19,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,393146,403026
19,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,2100,403746,406426
20,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,406426,407906
20,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,409361,419241
20,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,419961,429841
21,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,429841,439721
21,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,9600,440441,449121
21,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,451041,460921
22,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,1900,460921,463441
22,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,465083,466563
22,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,468627,478507
23,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,800,478507,480147
23,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,481821,483301
23,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,485457,495337
24,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,495337,505217
24,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,505937,507417
24,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,509681,511161
25,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,2100,511161,513841
25,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,515622,517102
25,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,519446,529326
26,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,529326,530806
26,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,532629,534109
26,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,2100,536529,539209
27,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,539209,540689
27,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,542564,552444
27,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,553164,563044
28,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,11100,563044,572924
28,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,573644,583524
28,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,584244,594124
29,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,2100,594124,596804
29,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,598868,608748
29,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,609468,619348
30,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,619348,620828
30,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,11100,623001,632881
30,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,11100,633601,643481
