cycle,algorithm,onu_id,cls,size_bytes,arrival_ns,start_ns,end_ns,queue_delay_ns
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,0,160,0
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,160,320,160
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,320,480,320
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,480,1680,480
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,1680,2880,1680
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,2880,4080,2880
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,4080,5280,4080
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,5280,6480,5280
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,6480,7680,6480
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,7680,8880,7680
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,10600,10760,10600
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,10760,10920,10760
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,10920,11080,10920
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,11080,12280,11080
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,12280,13480,12280
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,13480,14680,13480
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,14680,15880,14680
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,15880,17080,15880
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,17080,18280,17080
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,18280,19480,18280
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,21200,21360,21200
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,21360,21520,21360
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,21520,21680,21520
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,21680,22880,21680
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,22880,24080,22880
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,24080,25280,24080
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,25280,26480,25280
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,26480,27680,26480
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,27680,28880,27680
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,28880,30080,28880
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,31080,31080,31240,0
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,31080,31240,31400,160
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,31080,31400,31560,320
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,31560,32760,31560
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,31080,32760,33960,1680
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,31080,33960,35160,2880
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,31080,35160,36360,4080
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,31080,36360,37560,5280
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,31080,37560,38760,6480
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,31080,38760,39960,7680
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,31080,41680,41840,10600
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,31080,41840,42000,10760
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,31080,42000,42160,10920
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,31080,42160,43360,11080
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,31080,43360,44560,12280
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,31080,44560,45760,13480
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,31080,45760,46960,14680
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,31080,46960,48160,15880
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,31080,48160,49360,17080
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,31080,49360,50560,18280
