cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12635,11100,1535
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30644,11100,19544
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12615,11100,1515
1,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,583,2100,53
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12585,11100,21073
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,30603,11100,21033
2,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,605,600,76
2,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,599,11100,10601
2,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12596,11100,22547
3,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12598,11100,1597
3,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12568,10900,12297
3,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12578,10900,24239
4,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12616,11100,3134
4,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,569,11100,1962
4,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,625,11300,13756
5,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,588,3600,159
5,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,581,2100,608
5,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,607,11100,3280
6,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,618,600,202
6,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,600,769
6,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,30645,11100,22849
7,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30595,11100,19740
7,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,600,930
