cycle,algorithm,onu_id,cls,n_packets,mean_delay_ns,std_delay_ns,p95_delay_ns
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,11760.0,130.63945294843617,11760.0
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,3,13280.0,979.7958971132713,13280.0
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,5960.0,130.63945294843617,5960.0
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,0,0.0,0.0,0.0
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,3,7480.0,979.7958971132713,7480.0
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,3,160.0,130.63945294843617,160.0
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,3,1680.0,979.7958971132713,1680.0
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,0,0.0,0.0,0.0
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,11760.0,130.63945294843617,11760.0
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,3,29960.0,979.7958971132713,29960.0
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,5960.0,130.63945294843617,5960.0
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,3,7480.0,979.7958971132713,7480.0
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,0,0.0,0.0,0.0
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,3,160.0,130.63945294843617,160.0
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,3,18360.0,979.7958971132713,18360.0
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,0,0.0,0.0,0.0
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,3,11760.0,130.63945294843617,11760.0
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,2,46040.0,600.0,45440.0
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,0,0.0,0.0,0.0
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,3,5960.0,130.63945294843617,5960.0
