cycle,algorithm,onu_id,grant_bytes,start_ns,end_ns
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,0,5080
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,5800,10880
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,11600,16680
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,16680,21760
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,22480,27560
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,28280,33360
2,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,33360,38440
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,39160,44240
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,3600,44960,48840
3,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,4900,48840,53760
3,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,4900,54640,59560
3,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,60440,65520
4,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5300,65520,70760
4,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,71320,76400
4,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,77120,82200
5,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,82200,87280
5,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,88000,93080
5,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,93800,98880
6,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,98880,103960
6,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,104680,109760
6,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,110480,115560
7,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,115560,120640
7,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,121360,126440
7,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,127160,132240
8,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,132240,137320
8,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,138040,143120
8,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,143840,148920
9,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,148920,154000
9,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,154720,159800
9,limited,65298be0-01e9-4bf4-9842-ae24b342999c,4900,160520,165440
10,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,165440,170520
10,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,171240,176320
10,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,177040,182120
11,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,182120,187200
11,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,187920,193000
11,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5300,193720,198960
12,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,198960,204040
12,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,204760,209840
12,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,210560,215640
13,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,215640,220720
13,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,221440,226520
13,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,227240,232320
14,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,232320,237400
14,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,238120,243200
14,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,243920,249000
15,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,249000,254080
15,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,254800,259880
15,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,260600,265680
16,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,265680,270760
16,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,271480,276560
16,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,277280,282360
17,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,282360,287440
17,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,288160,293240
17,limited,65298be0-01e9-4bf4-9842-ae24b342999c,3600,293960,297840
18,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,297840,302920
18,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,303640,308720
18,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,309440,314520
19,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,314520,319600
19,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,320320,325400
19,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,326120,331200
20,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,331200,336280
20,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,337000,342080
20,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,342800,347880
21,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,347880,352960
21,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,353680,358760
21,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,359480,364560
22,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,4900,364560,369480
22,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,370360,375440
22,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,376160,381240
23,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5300,381240,386480
23,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,387040,392120
23,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,392840,397920
24,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,397920,403000
24,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,403720,408800
24,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,409520,414600
25,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,414600,419680
25,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,420400,425480
25,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,426200,431280
26,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,431280,436360
26,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,437080,442160
26,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,442880,447960
27,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,447960,453040
27,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,453760,458840
27,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,459560,464640
28,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,464640,469720
28,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,470440,475520
28,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,476240,481320
29,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,481320,486400
29,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,487120,492200
29,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,492920,498000
30,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,498000,503080
30,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,503800,508880
30,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,509600,514680
31,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,514680,519760
31,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,520480,525560
31,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,526280,531360
32,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,531360,536440
32,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,537160,542240
32,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,542960,548040
33,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,548040,553120
33,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,553840,558920
33,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,559640,564720
34,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,564720,569800
34,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,570520,575600
34,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,576320,581400
35,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,581400,586480
35,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,587200,592280
35,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,593000,598080
36,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,598080,603160
36,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,603880,608960
36,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,609680,614760
37,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,614760,619840
37,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,620560,625640
37,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,626360,631440
38,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5300,631440,636680
38,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,637240,642320
38,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,643040,648120
39,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,4900,648120,653040
39,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,653920,659000
39,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,659720,664800
40,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5300,664800,670040
40,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,670600,675680
40,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,676400,681480
41,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,681480,686560
41,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,687280,692360
41,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,693080,698160
42,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,698160,703240
42,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,703960,709040
42,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,709760,714840
43,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,714840,719920
43,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,720640,725720
43,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5300,726440,731680
44,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,731680,736760
44,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,737480,742560
44,limited,65298be0-01e9-4bf4-9842-ae24b342999c,4900,743280,748200
45,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,748200,753280
45,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,754000,759080
45,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,759800,764880
46,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,764880,769960
46,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,770680,775760
46,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5300,776480,781720
47,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,781720,786800
47,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,787520,792600
47,limited,65298be0-01e9-4bf4-9842-ae24b342999c,4900,793320,798240
48,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,798240,803320
48,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,804040,809120
48,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5300,809840,815080
49,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,815080,820160
49,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,4900,820880,825800
49,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,826680,831760
50,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,831760,836840
50,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,837560,842640
50,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,843360,848440
51,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,848440,853520
51,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,854240,859320
51,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,860040,865120
52,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,865120,870200
52,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,870920,876000
52,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,876720,881800
53,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,881800,886880
53,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,887600,892680
53,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,893400,898480
54,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,898480,903560
54,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,904280,909360
54,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,910080,915160
55,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,915160,920240
55,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,920960,926040
55,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,926760,931840
56,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,931840,936920
56,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,937640,942720
56,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,943440,948520
57,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,948520,953600
57,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,954320,959400
57,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,960120,965200
58,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,965200,970280
58,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,971000,976080
58,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,976800,981880
59,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,981880,986960
59,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,987680,992760
59,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,993480,998560
60,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,998560,1003640
60,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5300,1004360,1009600
60,limited,65298be0-01e9-4bf4-9842-ae24b342999c,4900,1010160,1015080
61,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,1015080,1020160
61,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,1020880,1025960
61,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,1026680,1031760
62,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,1031760,1036840
62,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,1037560,1042640
62,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,1043360,1048440
63,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,1048440,1053520
63,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,1054240,1059320
63,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,1060040,1065120
64,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,1065120,1070200
64,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,1070920,1076000
64,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,1076720,1081800
65,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,1081800,1086880
65,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,1087600,1092680
65,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,1093400,1098480
66,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,1098480,1103560
66,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,1104280,1109360
66,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,1110080,1115160
67,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,5100,1115160,1120240
67,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,5100,1120960,1126040
67,limited,65298be0-01e9-4bf4-9842-ae24b342999c,5100,1126760,1131840
