cycle,algorithm,onu_id,cls,size_bytes,arrival_ns,start_ns,end_ns,queue_delay_ns
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,0,160,0
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,160,320,160
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,0,320,480,320
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,480,1680,480
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,1680,2880,1680
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,2880,4080,2880
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,5800,5960,5800
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,5960,6120,5960
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,0,6120,6280,6120
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,6280,7480,6280
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,7480,8680,7480
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,0,8680,9880,8680
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,11600,11760,11600
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,11760,11920,11760
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,0,11920,12080,11920
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,12080,13280,12080
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,13280,14480,13280
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,14480,15680,14480
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,16680,16680,16840,0
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,16680,16840,17000,160
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,16680,17000,17160,320
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,17160,18360,17160
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,18360,19560,18360
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,19560,20760,19560
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,16680,22480,22640,5800
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,16680,22640,22800,5960
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,16680,22800,22960,6120
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,16680,22960,24160,6280
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,16680,24160,25360,7480
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,16680,25360,26560,8680
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,16680,28280,28440,11600
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,16680,28440,28600,11760
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,16680,28600,28760,11920
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,28760,29960,28760
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,29960,31160,29960
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,31160,32360,31160
2,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,33360,33360,33520,0
2,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,33360,33520,33680,160
2,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,33360,33680,33840,320
2,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,33840,35040,33840
2,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,0,35040,36240,35040
2,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,33360,36240,37440,2880
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,33360,39160,39320,5800
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,33360,39320,39480,5960
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,33360,39480,39640,6120
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,16680,39640,40840,22960
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,16680,40840,42040,24160
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,16680,42040,43240,25360
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,33360,44960,45120,11600
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,33360,45120,45280,11760
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,33360,45280,45440,11920
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,45440,46640,45440
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,0,46640,47840,46640
3,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,48840,48840,49000,0
3,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,48840,49000,49160,160
3,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,33360,49160,50360,15800
3,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,33360,50360,51560,17000
3,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,33360,51560,52760,18200
3,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,48840,54640,54800,5800
3,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,48840,54800,54960,5960
3,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,16680,54960,56160,38280
3,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,16680,56160,57360,39480
3,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,48840,57360,58560,8520
3,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,48840,60440,60600,11600
3,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,48840,60600,60760,11760
3,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,48840,60760,60920,11920
3,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,48840,60920,62120,12080
3,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,48840,62120,63320,13280
3,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,48840,63320,64520,14480
4,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,65520,65520,65680,0
4,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,65520,65680,65840,160
4,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,65520,65840,66000,320
4,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,65520,66000,66160,480
4,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,AF,1500,33360,66160,67360,32800
