cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
0,limited,65298be0-01e9-4bf4-9842-ae24b342999c,12635,5100,7535
0,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30644,5100,25544
0,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12615,5100,7515
1,limited,65298be0-01e9-4bf4-9842-ae24b342999c,583,5100,3053
1,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12585,5100,33073
1,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,30603,5100,33033
2,limited,65298be0-01e9-4bf4-9842-ae24b342999c,605,3600,76
2,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,599,5100,28601
2,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12596,5100,40547
3,limited,65298be0-01e9-4bf4-9842-ae24b342999c,12598,5100,7597
3,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12568,4900,36297
3,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12578,4900,48239
4,limited,65298be0-01e9-4bf4-9842-ae24b342999c,12616,5100,15134
4,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,569,5100,31962
4,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,625,5300,43756
5,limited,65298be0-01e9-4bf4-9842-ae24b342999c,588,5100,10659
5,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,581,5100,27608
5,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,607,5100,39280
6,limited,65298be0-01e9-4bf4-9842-ae24b342999c,618,5100,6202
6,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,5100,23269
6,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,30645,5100,64849
7,limited,65298be0-01e9-4bf4-9842-ae24b342999c,30595,5100,31740
7,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,5100,18930
7,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12575,5100,72393
8,limited,65298be0-01e9-4bf4-9842-ae24b342999c,579,5100,27257
8,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,5100,14591
8,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12602,5100,79939
9,limited,65298be0-01e9-4bf4-9842-ae24b342999c,555,4900,22929
9,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,625,5100,10277
9,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,30670,5100,105555
10,limited,65298be0-01e9-4bf4-9842-ae24b342999c,620,5100,18621
10,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,579,5100,5942
10,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,622,5100,101193
11,limited,65298be0-01e9-4bf4-9842-ae24b342999c,620,5300,14133
11,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,577,5100,1584
11,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,589,5100,96820
12,limited,65298be0-01e9-4bf4-9842-ae24b342999c,12622,5100,21667
12,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12589,5100,9215
12,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,570,5100,92417
13,limited,65298be0-01e9-4bf4-9842-ae24b342999c,599,5100,17200
13,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,586,5100,4832
13,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,633,5100,88047
14,limited,65298be0-01e9-4bf4-9842-ae24b342999c,646,5100,12779
14,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12573,5100,12422
14,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,641,5100,83718
15,limited,65298be0-01e9-4bf4-9842-ae24b342999c,612,5100,8370
15,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,580,5100,7992
15,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,590,5100,79379
16,limited,65298be0-01e9-4bf4-9842-ae24b342999c,608,5100,3969
16,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12594,5100,15556
16,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,573,5100,75013
17,limited,65298be0-01e9-4bf4-9842-ae24b342999c,601,3600,1069
17,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12584,5100,23104
17,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,568,5100,70615
18,limited,65298be0-01e9-4bf4-9842-ae24b342999c,12625,5100,8694
18,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,601,5100,18653
18,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,620,5100,66237
19,limited,65298be0-01e9-4bf4-9842-ae24b342999c,596,5100,4315
19,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30665,5100,44267
19,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,542,5100,61801
20,limited,65298be0-01e9-4bf4-9842-ae24b342999c,30613,5100,29949
20,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,598,5100,39879
20,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,554,5100,57319
21,limited,65298be0-01e9-4bf4-9842-ae24b342999c,12590,5100,37573
21,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,585,5100,35476
21,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12619,5100,64856
22,limited,65298be0-01e9-4bf4-9842-ae24b342999c,607,5100,33204
22,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,607,5100,31080
22,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,560,4900,60553
23,limited,65298be0-01e9-4bf4-9842-ae24b342999c,608,5100,28843
23,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,611,5100,26695
23,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,643,5300,56093
24,limited,65298be0-01e9-4bf4-9842-ae24b342999c,624,5100,24506
24,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,621,5100,22331
24,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12620,5100,63653
25,limited,65298be0-01e9-4bf4-9842-ae24b342999c,12599,5100,32168
25,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,564,5100,17931
25,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,614,5100,59227
26,limited,65298be0-01e9-4bf4-9842-ae24b342999c,583,5100,27813
26,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,595,5100,13526
26,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,578,5100,54779
27,limited,65298be0-01e9-4bf4-9842-ae24b342999c,42583,5100,65441
27,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,42629,5100,51150
27,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,613,5100,50344
28,limited,65298be0-01e9-4bf4-9842-ae24b342999c,30620,5100,91089
28,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,652,5100,46826
28,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12646,5100,57955
29,limited,65298be0-01e9-4bf4-9842-ae24b342999c,577,5100,86714
29,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,591,5100,42493
29,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,615,5100,53581
30,limited,65298be0-01e9-4bf4-9842-ae24b342999c,581,5100,82320
30,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,587,5100,38147
30,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,610,5100,49217
31,limited,65298be0-01e9-4bf4-9842-ae24b342999c,576,5100,77902
31,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,597,5100,33798
31,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,621,5100,44874
32,limited,65298be0-01e9-4bf4-9842-ae24b342999c,640,5100,73524
32,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12625,5100,41474
32,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,584,5100,40515
33,limited,65298be0-01e9-4bf4-9842-ae24b342999c,632,5100,69178
33,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12591,5100,49141
33,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,12585,5100,48141
34,limited,65298be0-01e9-4bf4-9842-ae24b342999c,603,5100,64835
34,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,603,5100,44811
34,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,615,5100,43782
35,limited,65298be0-01e9-4bf4-9842-ae24b342999c,30583,5100,90475
35,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30590,5100,70471
35,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,594,5100,39417
36,limited,65298be0-01e9-4bf4-9842-ae24b342999c,603,5100,86118
36,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30604,5100,96135
36,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,610,5100,35062
37,limited,65298be0-01e9-4bf4-9842-ae24b342999c,618,5100,81779
37,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,572,5100,91771
37,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,30648,5100,60755
38,limited,65298be0-01e9-4bf4-9842-ae24b342999c,30594,5100,107434
38,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30602,5100,117409
38,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,621,5300,56269
39,limited,65298be0-01e9-4bf4-9842-ae24b342999c,622,5100,103111
39,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30587,5100,143034
39,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,575,4900,51958
40,limited,65298be0-01e9-4bf4-9842-ae24b342999c,617,5100,98805
40,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,594,5100,138653
40,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,653,5300,47500
41,limited,65298be0-01e9-4bf4-9842-ae24b342999c,603,5100,94502
41,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12597,5100,146269
41,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,583,5100,43025
42,limited,65298be0-01e9-4bf4-9842-ae24b342999c,601,5100,90200
42,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,609,5100,141894
42,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,42595,5100,80545
