cycle,algorithm,utilization,fairness_jain
0,ipact,0.0,1.0
1,ipact,0.0,1.0
2,ipact,0.0,1.0
3,ipact,0.0,1.0
4,ipact,0.0,1.0
5,ipact,0.0,1.0
6,ipact,0.0,1.0
7,ipact,0.0,1.0
8,ipact,0.0,1.0
9,ipact,0.0,1.0
10,ipact,0.0,1.0
11,ipact,0.0,1.0
12,ipact,0.0,1.0
13,ipact,0.0,1.0
14,ipact,0.0,1.0
15,ipact,0.0,1.0
16,ipact,0.0,1.0
17,ipact,0.0,1.0
18,ipact,0.0,1.0
19,ipact,0.0,1.0
20,ipact,0.0,1.0
21,ipact,0.0,1.0
22,ipact,0.0,1.0
23,ipact,0.0,1.0
24,ipact,0.0,1.0
25,ipact,0.0,1.0
26,ipact,0.0,1.0
27,ipact,0.0,1.0
28,ipact,0.0,1.0
29,ipact,0.0,1.0
30,ipact,0.0,1.0
31,ipact,0.0,1.0
32,ipact,0.0,1.0
33,ipact,0.0,1.0
34,ipact,0.0,1.0
35,ipact,0.0,1.0
36,ipact,0.0,1.0
37,ipact,0.0,1.0
38,ipact,0.0,1.0
39,ipact,0.0,1.0
40,ipact,0.0,1.0
41,ipact,0.0,1.0
42,ipact,0.0,1.0
43,ipact,0.0,1.0
44,ipact,0.0,1.0
45,ipact,0.0,1.0
46,ipact,0.0,1.0
47,ipact,0.0,1.0
48,ipact,0.0,1.0
49,ipact,0.0,1.0
