cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
0,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
0,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
0,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
1,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
1,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
1,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
2,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
2,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
2,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
3,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
3,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
3,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
4,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
4,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
4,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
5,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
5,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
5,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
6,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
6,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
6,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
7,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
7,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
7,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
8,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
8,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
8,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
9,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
9,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
9,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
10,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
10,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
10,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
11,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
11,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
11,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
12,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
12,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
12,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
13,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
13,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
13,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
14,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
14,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
14,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
15,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
15,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
15,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
16,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
16,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
16,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
17,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
17,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
17,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
18,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,0,0,0
18,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,0,0,0
18,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,0,0,0
